alternative,missing function
Airborne_Data_Visualizer,"As a data provider, I can create discipline-specific portals"
Airborne_Data_Visualizer,The tool prevents users from applying incompatible combinations
Airborne_Data_Visualizer,"As a user, I can deep-link to the app, maintaining the entire state"
Giovanni,"As a user, I can search for data based on Temporal bounds"
Worldview,"As a user, I can search data based on Geospatial areas"
Worldview,"As a user, I can search for data based on Temporal bounds"
Worldview,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Worldview,"As  a user, I can refine my search result based on the service/functionality selected"
Worldview,"As a user, I can acquire data via direct download in the UI"
Worldview,"As a user, I can bulk download search data"
Worldview,The UI allows for data spatial subsetting transformations
Worldview,The UI allows for data spatial subsetting transformations via region
Worldview,The UI allows for data  temporal subsetting transformations?
Worldview,The UI allows for data  band/layer/variable subsetting transformations?
Worldview,The UI allows for data reprojection transformations
Worldview,The UI allows the reformatting of output files into other formats.
Worldview,Ability to bulk download customized output files
Worldview,Ability to re-submit the exact same request
