alternative,missing function
SOOT,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Airborne_Data_Visualizer,"As a user, I can search and access NASA EOSDIS's available data holdings"
Airborne_Data_Visualizer,Search data by Mission
Airborne_Data_Visualizer,"As a user, I can search for data based on keywords"
Airborne_Data_Visualizer,"As a user, I can refine my search results based on multiple criteria"
Airborne_Data_Visualizer,Dynamically show numbers of files and total size for filter and subset options.
Airborne_Data_Visualizer,"As a user, I can bulk download search data"
Airborne_Data_Visualizer,Candidate alternative (or tool) allows access of output via standard API(s)
Airborne_Data_Visualizer,"As a user, I can visualize data availability on a timeline"
Airborne_Data_Visualizer,"As a user, I can customize an existing visualization"
Airborne_Data_Visualizer,"As a user, I can download and save visualizations from the tool"
Airborne_Data_Visualizer,The UI allows for data spatial subsetting transformations
Airborne_Data_Visualizer,The UI allows for data  temporal subsetting transformations?
Airborne_Data_Visualizer,The UI allows for data  band/layer/variable subsetting transformations?
Airborne_Data_Visualizer,The UI allows for data reprojection transformations
Airborne_Data_Visualizer,The UI allows the reformatting of output files into other formats.
Airborne_Data_Visualizer,The UI allows for data regridding (resampling) transformations
Airborne_Data_Visualizer,Ability to bulk download customized output files
Airborne_Data_Visualizer,Ability to re-submit the exact same request
Airborne_Data_Visualizer,"As a data provider, I can create discipline-specific portals"
Airborne_Data_Visualizer,"The candidate/tool can be easily embedded (i.e., without substantial modification) in a web page or application"
Airborne_Data_Visualizer,"As a user, I can deep-link to the app, maintaining the entire state"
Worldview,"As a user, I can acquire data via direct download in the UI"
Worldview,"As a user, I can bulk download search data"
Worldview,The UI allows for data spatial subsetting transformations
Worldview,The UI allows for data  temporal subsetting transformations?
Worldview,The UI allows for data  band/layer/variable subsetting transformations?
Worldview,The UI allows for data reprojection transformations
Worldview,The UI allows the reformatting of output files into other formats.
Worldview,The UI allows for data regridding (resampling) transformations
Worldview,Ability to bulk download customized output files
Worldview,Ability to re-submit the exact same request
Worldview,"As a user, I can complete all tasks within the tool UX"
